batch_id,batch_size,Timestamp,model,task,conditions,gpu,wall_time_batch,wall_time_task,output_file_name,entity_id
545d92ff-4df0-41af-a9ab-dcb2296337e1,3,2024-01-18 07:49:10.884822,foldingdiff,backbone_pdb_generation,length = 710,T4 GPU,42.63782978057861 Seconds,14.212609926859537 Seconds (inferred),foldingdiff_len710_fd99ec66-6d6c-42b9-98c0-91a9377c36e6.pdb,fd99ec66-6d6c-42b9-98c0-91a9377c36e6
545d92ff-4df0-41af-a9ab-dcb2296337e1,3,2024-01-18 07:49:10.884822,foldingdiff,backbone_pdb_generation,length = 710,T4 GPU,42.63782978057861 Seconds,14.212609926859537 Seconds (inferred),foldingdiff_len710_9fc1d471-0ce2-47d0-a0f1-1541b8f327af.pdb,9fc1d471-0ce2-47d0-a0f1-1541b8f327af
545d92ff-4df0-41af-a9ab-dcb2296337e1,3,2024-01-18 07:49:10.884822,foldingdiff,backbone_pdb_generation,length = 710,T4 GPU,42.63782978057861 Seconds,14.212609926859537 Seconds (inferred),foldingdiff_len710_70dbcbb9-4943-4993-b212-8c274f719bbf.pdb,70dbcbb9-4943-4993-b212-8c274f719bbf
04e199f9-b982-4267-a3c0-d3dbd5edc144,2,2024-01-18 07:49:53.751798,foldingdiff,backbone_pdb_generation,length = 711,T4 GPU,42.44429636001587 Seconds,21.222148180007935 Seconds (inferred),foldingdiff_len711_ef9d4fea-0559-483d-8729-e1dfd958a324.pdb,ef9d4fea-0559-483d-8729-e1dfd958a324
04e199f9-b982-4267-a3c0-d3dbd5edc144,2,2024-01-18 07:49:53.751798,foldingdiff,backbone_pdb_generation,length = 711,T4 GPU,42.44429636001587 Seconds,21.222148180007935 Seconds (inferred),foldingdiff_len711_cf3a2af8-9427-4540-8624-22e17119251d.pdb,cf3a2af8-9427-4540-8624-22e17119251d
52908500-2415-4e0a-9326-30d069f91d06,4,2024-01-18 07:50:36.436912,foldingdiff,backbone_pdb_generation,length = 712,T4 GPU,41.05189609527588 Seconds,10.26297402381897 Seconds (inferred),foldingdiff_len712_1902378d-2d6c-48e7-a901-64e029800692.pdb,1902378d-2d6c-48e7-a901-64e029800692
52908500-2415-4e0a-9326-30d069f91d06,4,2024-01-18 07:50:36.436912,foldingdiff,backbone_pdb_generation,length = 712,T4 GPU,41.05189609527588 Seconds,10.26297402381897 Seconds (inferred),foldingdiff_len712_f08329c4-6e0e-41f5-9b06-2827b8eada69.pdb,f08329c4-6e0e-41f5-9b06-2827b8eada69
52908500-2415-4e0a-9326-30d069f91d06,4,2024-01-18 07:50:36.436912,foldingdiff,backbone_pdb_generation,length = 712,T4 GPU,41.05189609527588 Seconds,10.26297402381897 Seconds (inferred),foldingdiff_len712_5f3f1312-7d05-4454-bfa9-36b2beb62fb3.pdb,5f3f1312-7d05-4454-bfa9-36b2beb62fb3
52908500-2415-4e0a-9326-30d069f91d06,4,2024-01-18 07:50:36.436912,foldingdiff,backbone_pdb_generation,length = 712,T4 GPU,41.05189609527588 Seconds,10.26297402381897 Seconds (inferred),foldingdiff_len712_55b17348-92af-4a70-bffc-1903128852a1.pdb,55b17348-92af-4a70-bffc-1903128852a1
56bfb400-a52e-46b5-8e98-1a896bf2ae35,3,2024-01-18 07:51:17.728746,foldingdiff,backbone_pdb_generation,length = 713,T4 GPU,43.030704736709595 Seconds,14.343568245569864 Seconds (inferred),foldingdiff_len713_3e61ed90-1a4f-4215-8092-2ca1e24d1bf0.pdb,3e61ed90-1a4f-4215-8092-2ca1e24d1bf0
