TEVdesign,BF_Filename,GFP_Filename,Plate,Replicate,BF,GFP
TEV29,Plate2-replicate2-Snap-357,Plate2-replicate2-Snap-358,Plate2,replicate2,4321.42658,288.6231003
TEV90,Plate2-replicate2-Snap-360,Plate2-replicate2-Snap-361,Plate2,replicate2,4262.56392,261.1289342
TEV109,Plate2-replicate2-Snap-363,Plate2-replicate2-Snap-364,Plate2,replicate2,4016.72758,233.2310801
TEV35,Plate2-replicate2-Snap-366,Plate2-replicate2-Snap-367,Plate2,replicate2,4270.6565,393.1040371
TEV67,Plate2-replicate2-Snap-369,Plate2-replicate2-Snap-370,Plate2,replicate2,4186.6182,234.5074354
PC,Plate2-replicate2-Snap-372,Plate2-replicate2-Snap-373,Plate2,replicate2,3991.91422,960.6759638
TEV25,Plate2-replicate2-Snap-375,Plate2-replicate2-Snap-376,Plate2,replicate2,4072.35845,267.9551437
TEV73,Plate2-replicate2-Snap-378,Plate2-replicate2-Snap-379,Plate2,replicate2,4298.36168,262.440918
TEV38,Plate2-replicate2-Snap-381,Plate2-replicate2-Snap-382,Plate2,replicate2,3611.60471,116.0443528
NC,Plate2-replicate2-Snap-384,Plate2-replicate2-Snap-385,Plate2,replicate2,4179.01016,335.0174873
TEV81,Plate2-replicate2-Snap-387,Plate2-replicate2-Snap-388,Plate2,replicate2,3874.05437,218.2937787
TEV104,Plate2-replicate2-Snap-390,Plate2-replicate2-Snap-391,Plate2,replicate2,4097.76427,297.6883997
TEV98,Plate2-replicate2-Snap-393,Plate2-replicate2-Snap-394,Plate2,replicate2,4199.16902,314.7978825
TEV27,Plate2-replicate2-Snap-396,Plate2-replicate2-Snap-397,Plate2,replicate2,4312.98789,243.6356663
TEV92,Plate2-replicate2-Snap-399,Plate2-replicate2-Snap-400,Plate2,replicate2,4180.01106,238.4905165
TEV105,Plate2-replicate2-Snap-402,Plate2-replicate2-Snap-403,Plate2,replicate2,4013.54458,365.9650567
TEV26,Plate2-replicate2-Snap-405,Plate2-replicate2-Snap-406,Plate2,replicate2,4133.98551,182.1912395
TEV13,Plate2-replicate2-Snap-408,Plate2-replicate2-Snap-409,Plate2,replicate2,4054.60578,430.4647205
TEV57,Plate2-replicate2-Snap-411,Plate2-replicate2-Snap-412,Plate2,replicate2,3977.23312,140.8876075
TEV23,Plate3-replicate2-Snap-414,Plate3-replicate2-Snap-415,Plate3,replicate2,4232.78309,236.244199
TEV6,Plate3-replicate2-Snap-417,Plate3-replicate2-Snap-418,Plate3,replicate2,4021.53426,293.51705
TEV93,Plate3-replicate2-Snap-420,Plate3-replicate2-Snap-421,Plate3,replicate2,4210.0399,304.006454
TEV85,Plate3-replicate2-Snap-423,Plate3-replicate2-Snap-424,Plate3,replicate2,4240.96355,317.511693
TEV69,Plate3-replicate2-Snap-426,Plate3-replicate2-Snap-427,Plate3,replicate2,4162.6441,131.545995
TEV80,Plate3-replicate2-Snap-429,Plate3-replicate2-Snap-430,Plate3,replicate2,4004.63411,150.556209
PC,Plate3-replicate2-Snap-434,Plate3-replicate2-Snap-435,Plate3,replicate2,4267.7108,1846.39455
TEV83,Plate3-replicate2-Snap-437,Plate3-replicate2-Snap-438,Plate3,replicate2,4232.70384,231.380353
TEV71,Plate3-replicate2-Snap-440,Plate3-replicate2-Snap-441,Plate3,replicate2,3997.39399,258.202493
TEV10,Plate3-replicate2-Snap-443,Plate3-replicate2-Snap-444,Plate3,replicate2,3996.40226,228.578006
TEV103,Plate3-replicate2-Snap-446,Plate3-replicate2-Snap-447,Plate3,replicate2,4139.84523,447.393309
TEV53,Plate3-replicate2-Snap-449,Plate3-replicate2-Snap-450,Plate3,replicate2,4119.83129,280.261397
TEV20,Plate3-replicate2-Snap-452,Plate3-replicate2-Snap-453,Plate3,replicate2,4110.29328,203.671105
TEV60,Plate3-replicate2-Snap-455,Plate3-replicate2-Snap-456,Plate3,replicate2,4166.44763,73.1506062
TEV8,Plate3-replicate2-Snap-458,Plate3-replicate2-Snap-459,Plate3,replicate2,4162.08369,304.794939
NC,Plate3-replicate2-Snap-461,Plate3-replicate2-Snap-462,Plate3,replicate2,4247.36979,294.743771
TEV18,Plate3-replicate2-Snap-464,Plate3-replicate2-Snap-465,Plate3,replicate2,3921.25312,187.28776
TEV2,Plate3-replicate2-Snap-467,Plate3-replicate2-Snap-468,Plate3,replicate2,4117.71069,270.501982
TEV89,Plate3-replicate2-Snap-470,Plate3-replicate2-Snap-471,Plate3,replicate2,4244.17061,333.546618
TEV5,Plate3-replicate2-Snap-473,Plate3-replicate2-Snap-474,Plate3,replicate2,4313.26627,542.167009
TEV16,Plate3-replicate2-Snap-476,Plate3-replicate2-Snap-477,Plate3,replicate2,4193.62839,362.81649
TEV101,Plate3-replicate2-Snap-479,Plate3-replicate2-Snap-480,Plate3,replicate2,4250.5179,336.435332
TEV14,Plate3-replicate2-Snap-482,Plate3-replicate2-Snap-483,Plate3,replicate2,4290.12623,351.072821
TEV34,Plate4-replicate2-Snap-485,Plate4-replicate2-Snap-486,Plate4,replicate2,4229.01298,195.1080658
TEV91,Plate4-replicate2-Snap-488,Plate4-replicate2-Snap-489,Plate4,replicate2,4200.89836,218.0669689
TEV51,Plate4-replicate2-Snap-491,Plate4-replicate2-Snap-492,Plate4,replicate2,4152.34746,331.1563747
TEV39,Plate4-replicate2-Snap-494,Plate4-replicate2-Snap-495,Plate4,replicate2,4320.71923,340.6805128
TEV4,Plate4-replicate2-Snap-497,Plate4-replicate2-Snap-498,Plate4,replicate2,4217.62268,373.6975487
TEV94,Plate4-replicate2-Snap-500,Plate4-replicate2-Snap-501,Plate4,replicate2,4274.91834,269.3418393
TEV65,Plate4-replicate2-Snap-503,Plate4-replicate2-Snap-504,Plate4,replicate2,4163.42281,289.2515941
TEV68,Plate4-replicate2-Snap-506,Plate4-replicate2-Snap-507,Plate4,replicate2,4311.12215,429.7993827
PC,Plate4-replicate2-Snap-509,Plate4-replicate2-Snap-510,Plate4,replicate2,4286.24284,1523.064264
TEV46,Plate4-replicate2-Snap-512,Plate4-replicate2-Snap-513,Plate4,replicate2,4111.28032,147.8158835
TEV88,Plate4-replicate2-Snap-515,Plate4-replicate2-Snap-516,Plate4,replicate2,4266.55241,568.2795057
TEV40,Plate4-replicate2-Snap-518,Plate4-replicate2-Snap-519,Plate4,replicate2,4188.0253,242.5951242
TEV21,Plate4-replicate2-Snap-522,Plate4-replicate2-Snap-523,Plate4,replicate2,4271.44253,376.9141549
TEV42,Plate4-replicate2-Snap-525,Plate4-replicate2-Snap-526,Plate4,replicate2,4174.80706,249.5914898
TEV19,Plate4-replicate2-Snap-528,Plate4-replicate2-Snap-529,Plate4,replicate2,4247.46783,380.949785
TEV12,Plate4-replicate2-Snap-531,Plate4-replicate2-Snap-532,Plate4,replicate2,4261.38592,325.88396
TEV76,Plate4-replicate2-Snap-534,Plate4-replicate2-Snap-535,Plate4,replicate2,4113.45179,268.8514982
TEV22,Plate4-replicate2-Snap-537,Plate4-replicate2-Snap-538,Plate4,replicate2,4131.07417,235.8753272
TEV50,Plate4-replicate2-Snap-540,Plate4-replicate2-Snap-541,Plate4,replicate2,3955.70007,238.7485307
NC,Plate4-replicate2-Snap-543,Plate4-replicate2-Snap-544,Plate4,replicate2,4190.42378,389.1634032
TEV75,Plate4-replicate2-Snap-546,Plate4-replicate2-Snap-547,Plate4,replicate2,4268.65196,280.4389439
TEV110,Plate4-replicate2-Snap-549,Plate4-replicate2-Snap-550,Plate4,replicate2,4232.90927,314.6145089
TEV63,Plate4-replicate2-Snap-552,Plate4-replicate2-Snap-553,Plate4,replicate2,4140.98203,171.4079927
TEV47,Plate1-replicate3-Snap-759,Plate1-replicate3-Snap-761,Plate1,replicate3,4158.64647,86.1895055
TEV64,Plate1-replicate3-Snap-763,Plate1-replicate3-Snap-764,Plate1,replicate3,4240.0124,66.1034514
TEV87,Plate1-replicate3-Snap-766,Plate1-replicate3-Snap-767,Plate1,replicate3,4322.84,72.229056
TEV102,Plate1-replicate3-Snap-769,Plate1-replicate3-Snap-770,Plate1,replicate3,4249.98619,67.3886338
TEV100,Plate1-replicate3-Snap-772,Plate1-replicate3-Snap-773,Plate1,replicate3,4273.25394,92.7508548
TEV95,Plate1-replicate3-Snap-775,Plate1-replicate3-Snap-776,Plate1,replicate3,4361.30765,71.5994263
TEV41,Plate1-replicate3-Snap-778,Plate1-replicate3-Snap-779,Plate1,replicate3,4148.70655,46.1279688
PC,Plate1-replicate3-Snap-781,Plate1-replicate3-Snap-782,Plate1,replicate3,4393.89604,478.012039
TEV33,Plate1-replicate3-Snap-784,Plate1-replicate3-Snap-785,Plate1,replicate3,4260.40911,70.120163
TEV44,Plate1-replicate3-Snap-787,Plate1-replicate3-Snap-788,Plate1,replicate3,4209.38412,71.7123644
TEV32,Plate1-replicate3-Snap-790,Plate1-replicate3-Snap-791,Plate1,replicate3,4433.63243,70.5776029
TEV108,Plate1-replicate3-Snap-793,Plate1-replicate3-Snap-794,Plate1,replicate3,4352.95054,102.949177
TEV55,Plate1-replicate3-Snap-796,Plate1-replicate3-Snap-797,Plate1,replicate3,4237.52279,78.1993284
TEV9,Plate1-replicate3-Snap-800,Plate1-replicate3-Snap-801,Plate1,replicate3,4239.25996,38.6309686
TEV74,Plate1-replicate3-Snap-803,Plate1-replicate3-Snap-804,Plate1,replicate3,4218.03625,71.3038677
TEV49,Plate1-replicate3-Snap-806,Plate1-replicate3-Snap-809,Plate1,replicate3,4399.81784,60.6139604
NC,Plate1-replicate3-Snap-812,Plate1-replicate3-Snap-813,Plate1,replicate3,4309.53676,38.8686537
TEV84,Plate1-replicate3-Snap-815,Plate1-replicate3-Snap-816,Plate1,replicate3,4449.71171,63.4541743
TEV82,Plate1-replicate3-Snap-819,Plate1-replicate3-Snap-820,Plate1,replicate3,4368.30653,64.7393512
TEV97,Plate1-replicate3-Snap-822,Plate1-replicate3-Snap-823,Plate1,replicate3,4333.83961,66.3814661
TEV54,Plate1-replicate3-Snap-825,Plate1-replicate3-Snap-826,Plate1,replicate3,4351.94508,102.16703
TEV3,Plate1-replicate3-Snap-828,Plate1-replicate3-Snap-829,Plate1,replicate3,4396.79028,79.8954178
TEV96,Plate1-replicate3-Snap-831,Plate1-replicate3-Snap-832,Plate1,replicate3,4427.63215,55.032406
TEV11,Plate2-replicate3-Snap-836,Plate2-replicate3-Snap-837,Plate2,replicate3,3687.89805,51.5098029
TEV15,Plate2-replicate3-Snap-839,Plate2-replicate3-Snap-840,Plate2,replicate3,3895.44217,56.6487798
TEV58,Plate2-replicate3-Snap-842,Plate2-replicate3-Snap-843,Plate2,replicate3,3702.42398,47.4487884
TEV7,Plate2-replicate3-Snap-845,Plate2-replicate3-Snap-846,Plate2,replicate3,3952.77687,5.82860372
TEV29,Plate2-replicate3-Snap-849,Plate2-replicate3-Snap-850,Plate2,replicate3,3827.38386,52.5773079
TEV90,Plate2-replicate3-Snap-852,Plate2-replicate3-Snap-853,Plate2,replicate3,4039.51011,39.9523045
TEV109,Plate2-replicate3-Snap-855,Plate2-replicate3-Snap-856,Plate2,replicate3,3526.42925,17.5181546
TEV35,Plate2-replicate3-Snap-858,Plate2-replicate3-Snap-859,Plate2,replicate3,3928.03999,47.6157902
TEV67,Plate2-replicate3-Snap-861,Plate2-replicate3-Snap-862,Plate2,replicate3,4003.17943,29.8486066
TEV25,Plate2-replicate3-Snap-864,Plate2-replicate3-Snap-865,Plate2,replicate3,3746.53087,40.494455
PC,Plate2-replicate3-Snap-867,Plate2-replicate3-Snap-868,Plate2,replicate3,3955.78347,389.405796
TEV73,Plate2-replicate3-Snap-870,Plate2-replicate3-Snap-871,Plate2,replicate3,3978.36213,31.18266
TEV38,Plate2-replicate3-Snap-873,Plate2-replicate3-Snap-874,Plate2,replicate3,3706.09141,28.2948846
NC,Plate2-replicate3-Snap-876,Plate2-replicate3-Snap-877,Plate2,replicate3,3991.53738,15.3674754
